"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ms4a6d",4.67066951208573e-07,2.90169438672014,0.095,0.018,0.00632455358631528
"Cd47",4.78895226162163e-07,0.612333934847837,0.481,0.333,0.00648472025746185
"Ogfrl1",4.92644501004152e-07,4.30512969189513,0.072,0.005,0.00667089918809723
"Snord49b",5.21679069784363e-07,1.74554899077886,0.128,0.038,0.00706405628395006
"D17Wsu92e",5.46716905314949e-07,1.25032027650491,0.166,0.064,0.00740309361486973
"Fam26f",5.55809041279239e-07,1.44390597259141,0.141,0.046,0.00752621022796217
"Gm5244",6.09731320688072e-07,-0.270988065676942,0.931,0.964,0.00825637181343719
"Psme2b-ps",6.30871308882497e-07,0.645523596956965,0.465,0.321,0.0085426283935779
"Gm13048",6.55482137824514e-07,-0.21801313636499,0.974,0.99,0.00887588362828175
"AC119211.1",7.02701862369627e-07,-0.551204334343307,0.54,0.644,0.00951528591834712
"Hcst",7.24248894039284e-07,-0.800681976884707,0.297,0.415,0.00980705427418595
"Myh9",7.28195695703032e-07,-0.580650549810699,0.532,0.644,0.00986049791551476
"Rps27",7.52892707943926e-07,-0.594124314362226,0.445,0.552,0.0101949201582687
"Rps15",7.6748126338451e-07,-0.25080269014968,0.956,0.99,0.0103924637874897
"Mov10",7.86771361995933e-07,1.35344044583026,0.141,0.048,0.0106536710127869
"Gm15772",8.12383155781423e-07,-0.391363778753216,0.71,0.789,0.0110004803124362
"Arf4",8.93647917389684e-07,1.43003923668097,0.188,0.084,0.0121008864493737
"Arhgdib",9.0173492129237e-07,-0.421942662481888,0.683,0.786,0.01221039256922
"Ppib",9.14488790077107e-07,-0.778361041475484,0.288,0.399,0.0123830927064341
"Ubb",9.28454468514304e-07,0.369558832038944,0.776,0.667,0.0125722019581522
"Trim25",9.49703000661149e-07,1.36253560161068,0.215,0.104,0.0128599283319526
"Tspo",9.58284605646333e-07,0.764563712569373,0.41,0.275,0.012976131845057
"Id3",1.00457143373296e-06,-1.34485645044964,0.062,0.137,0.0136029017841781
"Snord35a",1.00544472808911e-06,-0.338387596253257,0.776,0.842,0.0136147270630547
